queue_count,avg_service_time,active_counters,hour_of_day,day_of_week,actual_wait
1,9.25,6,14,6,1.59
99,7.24,6,10,3,128.16
151,13.69,5,15,4,395.6
185,2.82,6,13,6,79.4
198,18.34,1,12,2,3567.46
64,13.24,5,12,4,175.71
248,7.45,5,10,4,307.8
207,16.79,3,17,6,1028.66
67,16.42,5,9,1,212.68
163,11.41,7,9,2,265.15
217,3.2,2,12,6,344.58
250,12.35,3,11,2,804.78
116,8.61,6,17,2,195.88
232,11.92,4,15,4,728.72
113,8.62,3,10,3,321.83
71,10.04,5,12,2,137.07
81,7.05,2,13,5,303.4
99,11.75,5,12,4,210.46
136,11.9,5,12,1,309.75
226,14.04,3,12,3,1090.24
136,3.53,2,16,5,212.1
229,8.51,1,15,5,1916.23
152,18.75,7,12,1,406.35
197,18.71,1,9,3,4586.97
204,19.96,1,14,4,4635.9
118,16.42,6,13,0,334.4
116,8.4,4,13,3,250.17
126,3.32,6,14,1,70.88
98,14.19,6,16,5,235.2
110,15.42,6,14,4,286.04
44,9.67,2,14,3,185.41
277,9.29,5,15,0,627.19
120,15.52,1,16,0,1730.38
159,5.47,4,12,2,221.81
86,15.1,5,15,2,247.76
125,13.07,1,16,6,1702.56
157,19.06,1,14,1,3245.6
127,4.79,3,17,3,174.09
20,18.37,3,14,3,130.25
101,7.41,7,12,6,99.91
157,8.71,5,14,5,232.65
172,12.49,5,10,5,376.13
142,18.6,2,16,6,948.95
158,19.87,5,14,5,553.51
240,8.47,6,12,2,311.33
65,19.12,5,15,3,289.39
58,8.45,1,16,6,566.68
86,12.59,6,11,3,188.67
190,14.17,5,11,0,544.87
133,7.96,3,11,2,386.56
153,8.53,5,11,4,208.05
82,9.23,2,10,2,385.91
212,15.74,6,13,6,520.62
118,19.64,4,14,4,516.77
74,6.26,3,9,0,155.57
189,4.09,4,14,6,162.24
137,11.53,6,15,1,220.68
180,9.47,3,10,3,539.31
193,5.64,5,9,0,221.79
247,14.21,2,15,3,1454.23
193,13.19,2,14,5,1271.66
206,19.1,5,11,1,735.65
121,7.43,7,10,1,123.72
231,17.2,4,10,0,1177.4
84,11.73,4,10,1,255.49
91,5.14,4,16,4,130.09
140,16.5,5,9,1,449.66
213,17.25,1,11,3,3467.31
211,6.35,1,16,3,1216.57
134,19.38,2,14,6,1498.09
177,6.5,4,15,3,291.11
174,2.26,6,10,6,69.34
225,17.87,5,17,3,775.83
78,8.38,4,15,4,205.65
99,19.31,5,11,6,416.27
155,10.26,7,17,2,246.01
268,3.86,5,11,5,191.21
161,3.5,7,16,0,86.61
199,8.24,4,15,3,357.15
210,10.28,7,11,1,300.01
201,6.97,1,13,3,1066.2
205,17.5,7,15,1,652.44
228,4.25,3,11,5,255.09
44,12.14,6,10,5,95.18
181,13.89,3,17,5,946.15
235,11.64,1,10,1,3134.13
198,13.58,5,11,3,518.03
98,4.47,2,9,5,175.52
195,15.59,1,9,4,2451.2
71,15.45,1,9,6,1211.59
209,15.63,7,11,1,447.99
43,7.52,3,14,1,115.08
66,19.2,5,11,3,242.11
225,7.49,6,12,1,217.66
106,5.83,7,10,1,111.47
44,13.83,4,15,5,137.11
212,3.62,1,12,3,764.08
118,19.03,3,9,5,714.24
61,19.98,3,12,6,455.43
84,19.53,1,12,6,1506.24
235,17.47,5,11,5,786.63
121,5.86,2,16,6,334.17
214,19.96,6,15,3,625.88
207,4.33,4,11,0,209.26
212,4.54,5,12,5,172.82
258,11.87,7,16,4,490.8
89,18.05,3,11,4,613.31
65,10.86,7,13,1,109.38
31,12.53,7,13,6,61.29
167,13.17,3,13,4,654.15
97,18.75,1,13,1,1687.8
67,10.22,2,17,0,407.65
89,11.49,2,13,3,506.72
100,15.93,2,17,3,807.12
149,3.77,4,17,3,136.27
244,12.95,5,12,4,652.67
114,4.05,7,17,0,71.26
262,5.1,6,10,4,180.83
162,9.58,7,11,6,260.2
82,17.77,7,9,4,224.22
157,7.63,5,15,0,261.66
109,6.12,6,17,0,121.1
174,18.04,3,11,6,1136.66
83,5.91,7,16,0,81.26
221,2.77,4,9,0,149.8
110,6.1,4,14,3,141.25
75,13.66,3,14,6,267.59
224,8.66,4,13,2,579.93
115,8.61,2,12,2,477.74
239,13.51,6,11,0,525.29
125,16.48,5,12,2,432.78
235,9.99,6,15,2,311.37
212,2.73,1,15,0,597.44
184,14.66,3,11,2,826.46
169,15.85,1,11,4,2546.07
117,3.6,4,11,1,112.93
102,5.74,7,13,6,88.14
29,7.85,2,9,1,125.69
114,11.38,5,15,0,244.37
141,2.3,6,16,3,65.04
47,2.07,6,15,6,13.77
243,4.65,1,16,0,1011.23
80,15.59,1,17,3,1244.75
80,14.07,6,12,1,200.22
258,8.41,2,11,0,967.74
224,16.95,6,15,6,693.4
184,3.36,2,17,6,348.09
89,10.6,7,17,5,124.89
109,8.82,6,16,4,149.71
164,9.4,3,11,2,490.29
12,15.82,5,14,3,34.77
158,12.43,2,10,5,1053.45
163,3.82,5,14,2,132.64
200,2.64,7,13,2,78.95
266,8.07,2,12,0,1114.82
171,17.64,3,11,2,810.75
226,2.85,1,16,4,617.74
153,16.66,1,14,6,3062.74
32,11.66,4,17,5,76.24
66,5.51,3,11,2,143.63
203,4.96,2,13,0,558.99
232,9.38,2,12,4,1335.58
93,11.5,3,14,1,340.39
105,11.9,7,10,6,211.93
99,5.2,7,14,6,82.02
264,6.58,3,11,5,541.63
69,9.13,3,16,6,174.26
57,2.2,5,14,2,21.85
218,3.33,7,16,0,113.38
117,14.52,3,15,6,570.07
78,3.38,3,14,6,95.93
126,9.56,3,17,1,390.69
168,15.74,1,17,1,2452.13
113,15.78,3,12,3,574.7
128,7.8,7,16,4,120.56
98,11.02,7,11,2,137.05
178,7.07,4,13,6,296.93
111,7.56,4,11,6,183.77
164,8.49,1,12,0,1272.11
212,8.41,3,13,3,537.1
184,3.97,6,16,4,132.02
155,17.7,5,16,3,524.26
189,10.07,6,11,5,338.48
219,13.83,6,16,4,409.09
131,11.37,7,12,6,187.76
105,3.9,5,10,6,88.37
216,8.21,6,11,4,354.69
216,10.51,6,16,6,388.8
210,2.72,4,13,2,139.65
147,17.23,4,10,4,621.57
215,2.5,6,15,3,92.59
195,8.66,1,13,4,1614.21
132,7.42,3,14,6,338.48
113,18.11,6,10,2,385.51
93,15.99,7,15,2,212.91
50,13.29,1,9,5,663.25
155,6.98,4,13,3,270.14
131,4.91,2,17,1,281.51
78,18.8,4,15,1,352.4
